Facility Code,Facility Name,Land Location,Township,Range,Meridian,Latitude,Longitude,CAPACITY (MW),ADDRESS,Area
134S,TABERWINDFARM,8-15-W 4,8,15,4,49.65217,-111.92188,,,AB
135S,CONRAD,7-15-W 4,7,15,4,49.56522,-111.92188,,,AB
137S,SEDGEWICK,44-12-W 4,44,12,4,52.78261,-111.52425,,,AB
138S,WINDYFLATS - Premanently Closed,8-26-W 4,8,26,4,49.64207748,-113.4928693,,,AB
139S,HILLRIDGE,8-18-W 4,8,18,4,49.65217,-112.31952,,,AB
140S,THOMPSON,67-12-W 4,67,12,4,54.78261,-111.52425,,,AB
142S,MAGCAN,19-28-W 4,19,28,4,50.6087,-113.64495,,,AB
146S,MACDONALD,9-21-W 4,9,21,4,49.73913,-112.71715,,,AB
149S,NISKU,50-24-W 4,50,24,4,53.30435,-113.11478,,,AB
150S,CLYDE,59-25-W 4,59,25,4,54.08696,-113.24732,,,AB
151S,STRATHMORE,24-25-W 4,24,25,4,51.04348,-113.24732,,,AB
154S,BLACKSPRUCE,76-6-W 4,76,6,4,55.56522,-110.72899,,,AB
155S,BLACKMUD,50-24-W 4,50,24,4,53.30435,-113.11478,,,AB
157S,LACLABICHE,66-14-W 4,66,14,4,54.69565,-111.78934,,,AB
158S,VAUXHALL,13-16-W 4,13,16,4,50.08696,-112.05443,,,AB
159S,COLINTON,65-22-W 4,65,22,4,54.6087,-112.84969,,,AB
163S,AMOCOEMPRESS,20-1-W 4,20,1,4,50.69565,-110.06627,,,AB
164S,EMPRESS LIQUIDS,20-1-W 4,20,1,4,50.67881717,-110.053129,,,AB
165S,T.M.P.L.GAINFORD,53-6-W 5,53,6,5,53.56522,-114.72899,,,AB
166S,DOWCHEMICALFORTSASKATCHEWAN,55-22-W 4,55,22,4,53.73913,-112.84969,,,AB
167S,IPIATIKLAKE,73-7-W 4,73,7,4,55.30435,-110.86153,,,AB
170S,PIKE,74-5-W 4,74,5,4,55.3913,-110.59645,,,AB
171S,REDWATER,57-21-W 4,57,21,4,53.91304,-112.71715,,,AB
172S,SHERRITTGORDON,55-22-W 4,55,22,4,53.73913,-112.84969,,,AB
177S,WESTCASCADE,26-11-W 5,26,11,5,51.21739,-115.39171,,,AB
178S,CYNTHIA,50-12-W 5,50,12,5,53.30435,-115.52425,,,AB
179S,GLEICHEN,22-22-W 4,22,22,4,50.86957,-112.84969,,,AB
180S,COPECREEK,25-5-W 5,25,5,5,51.13043,-114.59645,,,AB
181S,CHINOOK,9-22-W 4,9,22,4,49.73913,-112.84969,,,AB
183S,UNDERWOOD,74-5-W 4,74,5,4,55.3913,-110.59645,,,AB
184S,PETRO-CANADAEDMONTON,53-23-W 4,53,23,4,53.56522,-112.98223,,,AB
185S,BRETVILLE,53-23-W 4,53,23,4,53.56522,-112.98223,,,AB
186S,DRYCREEK,26-1-W 5,26,1,5,51.21739,-114.06627,,,AB
191S,N.W.CARDIFF,56-25-W 4,56,25,4,53.82609,-113.24732,,,AB
194S,SOUTH REDDEER,38-27-W 4,38,27,4,52.27037038,-113.8217404,,,AB
197S,BARDO,50-19-W 4,50,19,4,53.30435,-112.45206,,,AB
199S,EASTAIRDRIE,27-29-W 4,27,29,4,51.30435,-113.7775,,,AB
204S,SANDYPOINT,20-1-W 4,20,1,4,50.69565,-110.06627,,,AB
205S,CASTLEROCKRIDGE,7-30-W 4,7,30,4,49.56522,-113.91004,,,AB
207S,PINEDALE,53-15-W 5,53,15,5,53.56522,-115.92188,,,AB
209S,TIMBERLANDS,38-27-W 4,38,27,4,52.26087,-113.51241,,,AB
212S,N.E.LACOMBE,41-26-W 4,41,26,4,52.52174,-113.37987,,,AB
213S,HUGHENDEN,41-7-W 4,41,7,4,52.52174,-110.86153,,,AB
214S,INNISFAIL,35-28-W 4,35,28,4,52,-113.64495,,,AB
216S,KNIGHTSBRIDGE,53-23-W 4,53,23,4,53.56522,-112.98223,,,AB
217S,NORTHREDDEER,38-27-W 4,38,27,4,52.26087,-113.51241,,,AB
218S,FORTSASKATCHEWANCO-GEN,55-22-W 4,55,22,4,53.73913,-112.84969,,,AB
221S,SUNKENLAKE,40-5-W 4,40,5,4,52.43478,-110.59645,,,AB
223S,STROME,46-15-W 4,46,15,4,52.95652,-111.92188,,,AB
225S,MAGRATH,5-22-W 4,5,22,4,49.3913,-112.84969,,,AB
226S,GARDENCITY,5-22-W 4,5,22,4,49.3913,-112.84969,,,AB
227S,CUTTINGLAKE,19-14-W 4,19,14,4,50.6087,-111.78934,,,AB
228S,T.M.P.L.NITON,53-13-W 5,53,13,5,53.56522,-115.6568,,,AB
229S,GLENWOOD,4-26-W 4,4,26,4,49.30435,-113.37987,,,AB
230S,WARDLOW,22-9-W 4,22,9,4,50.86957,-111.12662,,,AB
233S,BEAMER,56-21-W 4,56,21,4,53.82609,-112.71715,,,AB
234S,FORTASSINIBOINE,61-6-W 5,61,6,5,54.26087,-114.72899,,,AB
235S,ENTWISTLE,53-7-W 5,53,7,5,53.56522,-114.86153,,,AB
237S,FOOTHILLS,19-27-W 4,19,27,4,50.6087,-113.51241,,,AB
238S,SHELLHARMATTAN,32-3-W 5,32,3,5,51.73913,-114.33136,,,AB
239S,CASTLERIVER,6-1-W 5,6,1,5,49.47826,-114.06627,,,AB
240S,MCBRIDELAKE,8-26-W 4,8,26,4,49.65217,-113.37987,,,AB
241S,UPLANDS,9-21-W 4,9,21,4,49.73913,-112.71715,,,AB
242S,FLATLAKE,67-18-W 4,67,18,4,54.78261,-112.31952,,,AB
243S,SODERGLEN,7-26-W 4,7,26,4,49.56522,-113.37987,,,AB
244S,BOWMANTON,14-4-W 4,14,4,4,50.17391,-110.4639,,,AB
245S,SEEBE,25-8-W 5,25,8,5,51.13043,-114.99408,,,AB
247S,PIPERCREEK,38-27-W 4,38,27,4,52.26087,-113.51241,,,AB
250P,BIGHORNPLANT,38-17-W 5,38,17,5,52.26087,-116.18697,,,AB
251S,WHITLA,7-9-W 4,7,9,4,49.56522,-111.12662,,,AB
252S,JARROW,46-10-W 4,46,10,4,52.95652,-111.25917,,,AB
253S,BLACKIE,19-25-W 4,19,25,4,50.6087,-113.24732,,,AB
254S,COALDALE,10-20-W 4,10,20,4,49.82609,-112.5846,,,AB
255S,VULCAN,16-24-W 4,16,24,4,50.34783,-113.11478,,,AB
256S,HARMATTAN,31-4-W 5,31,4,5,51.65217,-114.4639,,,AB
257S,HULL,12-16-W 4,12,16,4,50,-112.05443,,,AB
258S,DOWHYDROCARBONS,55-22-W 4,55,22,4,53.73913,-112.84969,,,AB
259S,CHICKADEE,61-15-W 5,61,15,5,54.26087,-115.92188,,,AB
