Facility Code,Facility Name,Land Location,Township,Range,Meridian,Latitude,Longitude,CAPACITY (MW),ADDRESS,Area
602S,COLDCREEK,51-25-W 5,51,25,5,53.3913,-117.24732,,,AB
604S,GRANUM,13-25-W 4,13,25,4,50.08696,-113.24732,,,AB
609S,WHEATLAND,26-19-W 4,26,19,4,51.21739,-112.45206,,,AB
611S,AMBER,16-21-W 4,16,21,4,50.34783,-112.71715,,,AB
615S,HALKIRK,38-15-W 4,38,15,4,52.26087,-111.92188,,,AB
618S,RIVERBEND,8-22-W 4,8,22,4,49.65217,-112.84969,,,AB
620S,GOLDEYE,40-14-W 4,40,14,4,52.43478,-111.78934,,,AB
632S,RUSSELL,6-1-W 5,6,1,5,49.47826,-114.06627,,,AB
634S,RAVENRIVER,35-6-W 5,35,6,5,52,-114.72899,,,AB
635S,NEWROSEVALLEY,51-4-W 5,51,4,5,53.3913,-114.4639,,,AB
638S,JUDYCREEK,63-11-W 5,63,11,5,54.43478,-115.39171,,,AB
641S,PRIMROSEEAST,67-3-W 4,67,3,4,54.78261,-110.33136,,,AB
648S,METISKOW,40-4-W 4,40,4,4,52.43478,-110.4639,,,AB
649S,CHAPPICELAKE,14-4-W 4,14,4,4,50.17391,-110.4639,,,AB
650S,HANSMANLAKE,40-5-W 4,40,5,4,52.43478,-110.59645,,,AB
651S,KIRBY,73-7-W 4,73,7,4,55.30435,-110.86153,,,AB
653S,SUMMIT,28-1-W 5,28,1,5,51.3913,-114.06627,,,AB
656S,CLIPPER,42-9-W 4,42,9,4,52.6087,-111.12662,,,AB
657S,SUMMERSIDE,51-24-W 4,51,24,4,53.3913,-113.11478,,,AB
658S,CHARD,78-9-W 4,78,9,4,55.73913,-111.12662,,,AB
659S,PEGASUSLAKE,61-12-W 5,61,12,5,54.26087,-115.52425,,,AB
661S,LAURALAKE,61-12-W 5,61,12,5,54.26087,-115.52425,,,AB
662S,HILDA,18-1-W 4,18,1,4,50.52174,-110.06627,,,AB
672S,CENTRALUTILITIESBLOCK,55-22-W 4,55,22,4,53.73913,-112.84969,,,AB
674S,BOWRON,8-22-W 4,8,22,4,49.65217,-112.84969,,,AB
678S,OKOTOKS,20-29-W 4,20,29,4,50.69565,-113.7775,,,AB
679S,BEARCREEK,70-5-W 6,70,5,6,55.04348,-118.59645,,,AB
681S,BANNERMAN,56-21-W 4,56,21,4,53.82609,-112.71715,,,AB
698S,JACKFISH,75-6-W 4,75,6,4,55.47826,-110.72899,,,AB
700S,BONNYVILLE,61-6-W 4,61,6,4,54.26087,-110.72899,,,AB
701S,BLUERIDGELUMBER,59-10-W 5,59,10,5,54.08696,-115.25917,,,AB
705S,KITSCOTY,51-3-W 4,51,3,4,53.3913,-110.33136,,,AB
706S,IRISHCREEK,55-6-W 4,55,6,4,53.73913,-110.72899,,,AB
707S,ST.PAUL,58-9-W 4,58,9,4,54,-111.12662,,,AB
708S,GRIZZLYBEARCREEK,49-8-W 4,49,8,4,53.21739,-110.99408,,,AB
709S,VEGREVILLE,52-14-W 4,52,14,4,53.47826,-111.78934,,,AB
710S,VERMILION,50-6-W 4,50,6,4,53.30435,-110.72899,,,AB
715S,LEMINGLAKE,65-4-W 4,65,4,4,54.59914,-110.42758,,,AB
716S,LLOYDMINSTER,49-1-W 4,49,1,4,53.21739,-110.06627,,,AB
717S,ETHELLAKE,64-3-W 4,64,3,4,54.52174,-110.33136,,,AB
718S,PARSONSCREEK,90-9-W 4,90,9,4,56.78261,-111.12662,,,AB
719S,RATTLESNAKERIDGE,10-8-W 4,10,8,4,49.82609,-110.99408,,,AB
720S,WABASCA,80-25-W 4,80,25,4,55.91304,-113.24732,,,AB
721S,LACOREY,63-5-W 4,63,5,4,54.43478,-110.59645,,,AB
722S,CRYSTALLAKE,71-5-W 6,71,5,6,55.13043,-118.59645,,,AB
723S,CHRISTINALAKE,76-6-W 4,76,6,4,55.56522,-110.72899,,,AB
724S,HINESCREEK,84-4-W 6,84,4,6,56.26087,-118.4639,,,AB
725S,GOOSERIVER,66-18-W 5,66,18,5,54.69565,-116.31952,,,AB
727S,KINUSO,73-9-W 5,73,9,5,55.30435,-115.12662,,,AB
728S,MERCERHILL,73-5-W 6,73,5,6,55.30435,-118.59645,,,AB
729S,OTAUWAU,72-4-W 5,72,4,5,55.21739,-114.4639,,,AB
730S,RYCROFT,78-5-W 6,78,5,6,55.73913,-118.59645,,,AB
731S,ELMWORTH,70-11-W 6,70,11,6,55.04348,-119.39171,,,AB
732S,MITSUE,72-4-W 5,72,4,5,55.21739,-114.4639,,,AB
733S,SIMONETTE,63-25-W 5,63,25,5,54.43478,-117.24732,,,AB
734S,STURGEON,69-21-W 5,69,21,5,54.95652,-116.71715,,,AB
735S,SWANRIVER,68-9-W 5,68,9,5,54.86957,-115.12662,,,AB
737S,HORSESHOE,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
738S,VIRGINIAHILLS,65-13-W 5,65,13,5,54.6087,-115.6568,,,AB
739S,EDITHLAKE,67-10-W 5,67,10,5,54.78261,-115.25917,,,AB
740S,H.R.MILNER,58-8-W 6,58,8,6,54,-118.99408,,,AB
741S,FOXCREEK,62-19-W 5,62,19,5,54.34783,-116.45206,,,AB
742S,FREEMANLAKE,66-11-W 5,66,11,5,54.69565,-115.39171,,,AB
743S,SARAHLAKE,64-11-W 5,64,11,5,54.52174,-115.39171,,,AB
745S,SLAVELAKE,72-6-W 5,72,6,5,55.21739,-114.72899,,,AB
746S,SHERWOODPARK,53-23-W 4,53,23,4,53.56522,-112.98223,,,AB
747S,BASSETT,106-4-W 6,106,4,6,58.17391,-118.4639,,,AB
748S,HAIGRIVER,104-3-W 6,104,3,6,58,-118.33136,,,AB
749S,FLYINGSHOTLAKE,71-6-W 6,71,6,6,55.13043,-118.72899,,,AB
751S,HILL,50-1-W 4,50,1,4,53.30435,-110.06627,,,AB
752S,ALBRIGHT&WILSON,70-5-W 6,70,5,6,55.04348,-118.59645,,,AB
754S,KSITUANRIVER,78-10-W 6,78,10,6,55.73913,-119.25917,,,AB
755S,CORDEL,40-15-W 4,40,15,4,52.43478,-111.92188,,,AB
756S,BIGFOOT,40-15-W 4,40,15,4,52.43478,-111.92188,,,AB
757S,BATTLERIVER,40-15-W 4,40,15,4,52.43478,-111.92188,,,AB
758S,CG&E,70-6-W 6,70,6,6,55.04348,-118.72899,,,AB
759S,CASTOR,37-14-W 4,37,14,4,52.17391,-111.78934,,,AB
762S,CONKLIN,77-5-W 4,77,5,4,55.65217,-110.59645,,,AB
763S,HANNA,31-14-W 4,31,14,4,51.65217,-111.78934,,,AB
764S,HEISLER,42-15-W 4,42,15,4,52.6087,-111.92188,,,AB
765S,MANNIXMINE,40-15-W 4,40,15,4,52.43478,-111.92188,,,AB
766S,NEVIS,39-21-W 4,39,21,4,52.34783,-112.71715,,,AB
767S,OYEN,28-4-W 4,28,4,4,51.3913,-110.4639,,,AB
768S,ROWLEY,32-20-W 4,32,20,4,51.73913,-112.5846,,,AB
769S,STETTLER,38-19-W 4,38,19,4,52.26087,-112.45206,,,AB
770S,THREEHILLS,32-23-W 4,32,23,4,51.73913,-112.98223,,,AB
771S,VETERAN,35-8-W 4,35,8,4,52,-110.99408,,,AB
772S,YOUNGSTOWN,29-9-W 4,29,9,4,51.47826,-111.12662,,,AB
773S,CORONATION,36-11-W 4,36,11,4,52.08696,-111.39171,,,AB
774S,MONITOR,35-5-W 4,35,5,4,52,-110.59645,,,AB
775S,SULLIVANLAKE,35-13-W 4,35,13,4,52,-111.6568,,,AB
776S,RICHDALE,30-12-W 4,30,12,4,51.56522,-111.52425,,,AB
777S,VILNA,59-13-W 4,59,13,4,54.08696,-111.6568,,,AB
778S,BIGVALLEY,36-19-W 4,36,19,4,52.08696,-112.45206,,,AB
779S,CHINCHAGARIVER,103-2-W 6,103,2,6,57.91304,-118.19882,,,AB
780S,LUBICON,83-11-W 5,83,11,5,56.17391,-115.39171,,,AB
782S,ASTORIARIVER,44-1-W 6,44,1,6,52.78261,-118.06627,,,AB
783S,CADOTTERIVER,91-16-W 5,91,16,5,56.86957,-116.05443,,,AB
784S,DONNELLY,77-21-W 5,77,21,5,55.65217,-116.71715,,,AB
785S,JUDYCREEKGASPLANT,64-11-W 5,64,11,5,54.52174,-115.39171,,,AB
786S,HIGHLEVEL,109-19-W 5,109,19,5,58.43478,-116.45206,,,AB
787S,HIGHPRAIRIE,74-17-W 5,74,17,5,55.3913,-116.18697,,,AB
788S,HOTCHKISS,93-23-W 5,93,23,5,57.04348,-116.98223,,,AB
789S,KEGRIVER,101-23-W 5,101,23,5,57.73913,-116.98223,,,AB
790S,POPLARHILL,73-8-W 6,73,8,6,55.30435,-118.99408,,,AB
791S,RAINBOWLAKE,109-8-W 6,109,8,6,58.43478,-118.99408,,,AB
793S,WESTPEACE,83-22-W 5,83,22,5,56.17391,-116.84969,,,AB
794S,VALLEYVIEW,70-22-W 5,70,22,5,55.04348,-116.84969,,,AB
795S,ZAMA,116-5-W 6,116,5,6,59.04577913,-118.5959049,,,AB
796S,NIPISI,80-8-W 5,80,8,5,55.91304,-114.99408,,,AB
797S,KEMPRIVER,99-22-W 5,99,22,5,57.56522,-116.84969,,,AB
798S,BRIDGECREEK,70-5-W 6,70,5,6,55.04348,-118.59645,,,AB
799S,COLEMAN,8-7-W 5,8,7,5,49.65217,-114.86153,,,AB
800S,FRIEDENSTAL,81-3-W 6,81,3,6,56,-118.33136,,,AB
801S,ANDERSON,28-13-W 4,28,13,4,51.3913,-111.6568,,,AB
802S,MICHICHICREEK,29-20-W 4,29,20,4,51.47826,-112.5846,,,AB
803S,BULLPOUND,25-16-W 4,25,16,4,51.13043,-112.05443,,,AB
804S,WINTERINGHILLS,26-19-W 4,26,19,4,51.21739,-112.45206,,,AB
805S,JASPER,53-25-W 4,53,25,4,53.56522,-113.24732,,,AB
806S,OLDMANRIVER,7-29-W 4,7,29,4,49.56522,-113.7775,,,AB
807S,SHEERNESS,28-13-W 4,28,13,4,51.3913,-111.6568,,,AB
808S,PROCTER&GAMBLE,70-5-W 6,70,5,6,55.04348,-118.59645,,,AB
809S,LOUISECREEK,64-11-W 5,64,11,5,54.52174,-115.39171,,,AB
810S,DOMECUTBANK,62-6-W 6,62,6,6,54.34783,-118.72899,,,AB
811S,CLAIRMONTLAKE,72-5-W 6,72,5,6,55.21739,-118.59645,,,AB
812S,NORCEN,87-13-W 5,87,13,5,56.52174,-115.6568,,,AB
813S,LITTLESMOKY,69-21-W 5,69,21,5,54.95652,-116.71715,,,AB
815S,GOODFARE,72-11-W 6,72,11,6,55.21739,-119.39171,,,AB
818S,WINEFRED,73-7-W 4,73,7,4,55.30435,-110.86153,,,AB
819S,WHITBYLAKE,60-13-W 4,60,13,4,54.17391,-111.6568,,,AB
820S,HANGINGSTONE,88-9-W 4,88,9,4,56.6087,-111.12662,,,AB
821S,SUNDANCE,52-4-W 5,52,4,5,53.47826,-114.4639,,,AB
822S,WOLFLAKE,66-5-W 4,66,5,4,54.69565,-110.59645,,,AB
823S,WAPITI,69-8-W 6,69,8,6,54.95652,-118.99408,,,AB
824S,FIELDGATE,64-10-W 5,64,10,5,54.52174,-115.25917,,,AB
825S,WHITEFISHLAKE,62-12-W 4,62,12,4,54.34783,-111.52425,,,AB
826S,MARGUERITELAKE,64-6-W 4,64,6,4,54.52174,-110.72899,,,AB
827S,CRANBERRYLAKE,84-9-W 5,84,9,5,56.26087,-115.12662,,,AB
828S,SULPHURPOINT,110-6-W 6,110,6,6,58.52174,-118.72899,,,AB
829S,BOUCHERCREEK,81-4-W 6,81,4,6,56,-118.4639,,,AB
830S,CARMON,85-18-W 5,85,18,5,56.34783,-116.31952,,,AB
832S,BLUMENORT,108-14-W 5,108,14,5,58.34783,-115.78934,,,AB
833S,MARIANA,80-13-W 4,80,13,4,55.91304,-111.6568,,,AB
834S,WESLEYCREEK,84-19-W 5,84,19,5,56.26087,-116.45206,,,AB
836S,STEEPBANK,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
837S,MAHIHKAN,65-4-W 4,65,4,4,54.63423,-110.55125,,,AB
838S,HORIZONMINING,96-12-W 4,96,12,4,57.30435,-111.52425,,,AB
839S,DAISHOWA,85-21-W 5,85,21,5,56.34783,-116.71715,,,AB
840S,MCNEILLSTATION,19-1-W 4,19,1,4,50.6087,-110.06627,,,AB
841S,LONGLAKE,85-6-W 4,85,6,4,56.34783,-110.72899,,,AB
842S,HORIZONUPGRADING,96-11-W 4,96,11,4,57.30435,-111.39171,,,AB
843S,BIGKNIFECREEK,40-15-W 4,40,15,4,52.43478,-111.92188,,,AB
844S,A.E.C.MILL,72-4-W 5,72,4,5,55.21739,-114.4639,,,AB
845S,BIGMOUNTAIN,70-5-W 6,70,5,6,55.04348,-118.59645,,,AB
846S,GRANDCENTRE,62-2-W 4,62,2,4,54.34783,-110.19882,,,AB
847S,MUSKEGRIVER,95-10-W 4,95,10,4,57.21739,-111.25917,,,AB
848S,RUTHLAKE,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
849S,JOSLYN,96-12-W 4,96,12,4,57.30435,-111.52425,,,AB
850S,RAINBOWCOGEN,109-8-W 6,109,8,6,58.44875126,-119.2389598,,,AB
851S,MORSERIVER,64-11-W 5,64,11,5,54.52174,-115.39171,,,AB
852S,ROUNDHILL,73-13-W 4,73,13,4,55.30435,-111.6568,,,AB
853S,RINGCREEK,101-13-W 6,101,13,6,57.73913,-119.6568,,,AB
854S,SWANDIVE,67-10-W 5,67,10,5,54.78261,-115.25917,,,AB
855S,HAMBURG,96-11-W 6,96,11,6,57.30435,-119.39171,,,AB
856S,KINOSIS,84-6-W 4,84,6,4,56.26087,-110.72899,,,AB
857S,KAKWARIDGE,59-7-W 6,59,7,6,54.08696,-118.86153,,,AB
858S,NARROWSCREEK,76-7-W 5,76,7,5,55.56522,-114.86153,,,AB
859S,PRIMROSE,67-4-W 4,67,4,4,54.78261,-110.4639,,,AB
860S,CROW,78-15-W 4,78,15,4,55.73913,-111.92188,,,AB
861S,EUREKARIVER,86-7-W 6,86,7,6,56.43478,-118.86153,,,AB
862S,SOUTHBEZANSON,72-3-W 6,72,3,6,55.21739,-118.33136,,,AB
863S,PAINTEARTHCREEK,40-13-W 4,40,13,4,52.43478,-111.6568,,,AB
864S,LONGLAKECOGEN,85-6-W 4,85,6,4,56.34783,-110.72899,,,AB
865S,SADDLEHILLS,74-7-W 6,74,7,6,55.3913,-118.86153,,,AB
866S,SUNDANCEMAKE-UP,51-3-W 5,51,3,5,53.3913,-114.33136,,,AB
867S,SUNDANCEBLOW-DOWN,52-4-W 5,52,4,5,53.47826,-114.4639,,,AB
868S,KEEPHILLSMAKE-UP,51-3-W 5,51,3,5,53.3913,-114.33136,,,AB
869S,SEALLAKE,84-14-W 5,84,14,5,56.26087,-115.78934,,,AB
873S,MARIONLAKE,38-17-W 4,38,17,4,52.26087,-112.18697,,,AB
874S,MACKAYRIVER,93-12-W 4,93,12,4,57.04348,-111.52425,,,AB
875S,ALGAR,84-11-W 4,84,11,4,56.26087,-111.39171,,,AB
876S,BRINTNELL,82-23-W 4,82,23,4,56.08696,-112.98223,,,AB
878S,KIDNEYLAKE,91-6-W 5,91,6,5,56.86957,-114.72899,,,AB
879S,SCOTFORDUPGRADER,55-21-W 4,55,21,4,53.73913,-112.71715,,,AB
880S,BRIKER,47-3-W 4,47,3,4,53.04348,-110.33136,,,AB
881S,STURGEON2,69-21-W 5,69,21,5,54.95652,-116.71715,,,AB
882S,TRIANGLE,74-18-W 5,74,18,5,55.3913,-116.31952,,,AB
883S,GREGOIRE,86-9-W 4,86,9,4,56.43478,-111.12662,,,AB
885S,MCMILLAN,78-15-W 4,78,15,4,55.73913,-111.92188,,,AB
886S,UPDIKE,74-12-W 6,74,12,6,55.3913,-119.52425,,,AB
887S,MOBILOILCARSONCREEK,61-12-W 5,61,12,5,54.26087,-115.52425,,,AB
888S,DOVER,92-12-W 4,92,12,4,56.95652,-111.52425,,,AB
889S,MAHKESES,64-3-W 4,64,3,4,54.52174,-110.33136,,,AB
890S,MELITO,109-20-W 5,109,20,5,58.43478,-116.5846,,,AB
892S,RIBSTONECREEK,37-9-W 4,37,9,4,52.17391,-111.12662,,,AB
893S,CAVENDISH,21-2-W 4,21,2,4,50.78261,-110.19882,,,AB
895S,SUFFIELD,15-9-W 4,15,9,4,50.26087,-111.12662,,,AB
898S,HEARTLAKE,70-11-W 4,70,11,4,55.04348,-111.39171,,,AB
899S,EDGERTON,44-4-W 4,44,4,4,52.78261,-110.4639,,,AB
903S,LOYALIST,34-5-W 4,34,5,4,51.91304,-110.59645,,,AB
905S,MEIKLE,93-23-W 5,93,23,5,57.04348,-116.98223,,,AB
906S,ROSSCREEK,55-22-W 4,55,22,4,53.73913,-112.84969,,,AB
907S,WADDEL,79-10-W 4,79,10,4,55.82609,-111.25917,,,AB
909S,MAHNO,66-4-W 4,66,4,4,54.69565,-110.4639,,,AB
910S,EXCEL,28-4-W 4,28,4,4,51.3913,-110.4639,,,AB
914S,BINDLOSS,22-3-W 4,22,3,4,50.86957,-110.33136,,,AB
917S,HORSERIVER,82-12-W 4,82,12,4,56.08696,-111.52425,,,AB
918S,BAUER,49-8-W 4,49,8,4,53.21739,-110.99408,,,AB
919S,HARTLY,95-10-W 4,95,10,4,57.21739,-111.25917,,,AB
920S,JACKPINE,95-9-W 4,95,9,4,57.21739,-111.12662,,,AB
925S,GREENSTOCKING,95-7-W 4,95,7,4,57.21739,-110.86153,,,AB
927S,BUCHANANCREEK,91-23-W 5,91,23,5,56.86957,-116.98223,,,AB
928S,EASTSTAVELY,14-25-W 4,14,25,4,50.17391,-113.24732,,,AB
930S,ARCENCIEL,108-8-W 6,108,8,6,58.41535759,-119.2893759,,,AB
931S,BOHN,79-6-W 4,79,6,4,55.82609,-110.72899,,,AB
932S,PEMUKAN,35-5-W 4,35,5,4,52,-110.59645,,,AB
933S,TOWERROAD,89-10-W 4,89,10,4,56.69565,-111.25917,,,AB
934S,BLACKFLY,94-7-W 4,94,7,4,57.13043,-110.86153,,,AB
936S,NORBERG,61-10-W 4,61,10,4,54.26087,-111.25917,,,AB
937S,AMR02,90-14-W 4,90,14,4,56.78261,-111.78934,,,AB
939S,LIVOCK,85-19-W 4,85,19,4,56.34783,-112.45206,,,AB
940S,BEARTRAP,60-4-W 4,60,4,4,54.17391,-110.4639,,,AB
941S,BITUMOUNT,96-11-W 4,96,11,4,57.30435,-111.39171,,,AB
942S,NABIYE,66-3-W 4,66,3,4,54.69565,-110.33136,,,AB
944S,LOWELAKE,73-8-W 6,73,8,6,55.30435,-118.99408,,,AB
945S,SUNSHINEVILLAGE,25-13-W 5,25,13,5,51.13043,-115.6568,,,AB
946S,OAKLAND,27-13-W 4,27,13,4,51.30435,-111.6568,,,AB
947S,WEASELCREEK,59-19-W 4,59,19,4,54.08696,-112.45206,,,AB
948S,HEATBURG,36-23-W 4,36,23,4,52.08696,-112.98223,,,AB
950S,GERMAIN,85-22-W 4,85,22,4,56.34783,-112.84969,,,AB
951S,THICKWOODHILLS,89-11-W 4,89,11,4,56.69565,-111.39171,,,AB
953S,LAKELOUISE,28-16-W 5,28,16,5,51.3913,-116.05443,,,AB
956S,WATTLAKE,56-13-W 4,56,13,4,53.82609,-111.6568,,,AB
957S,MCCLELLAND,97-7-W 4,97,7,4,57.3913,-110.86153,,,AB
958S,WESTLACOMBE,41-27-W 4,41,27,4,52.52174,-113.51241,,,AB
959S,LANFINE,28-4-W 4,28,4,4,51.3913,-110.4639,,,AB
960S,BIRCHWOODCREEK,89-14-W 4,89,14,4,56.69565,-111.78934,,,AB
963S,COYOTELAKE,28-16-W 4,28,16,4,51.3913,-112.05443,,,AB
964S,PIGEONLAKE,46-27-W 4,46,27,4,52.95652,-113.51241,,,AB
967S,REDCOAT,7-18-W 4,7,18,4,49.56522,-112.31952,,,AB
969S,LINDBERGH,58-4-W 4,58,4,4,54,-110.4639,,,AB
970S,BOURQUE,65-4-W 4,65,4,4,54.6087,-110.4639,,,AB
972S,TINCHEBRAY,39-15-W 4,39,15,4,52.34783,-111.92188,,,AB
973S,LANESLAKE,37-15-W 4,37,15,4,52.17391,-111.92188,,,AB
975S,DALEHURST,52-23-W 5,52,23,5,53.47826,-116.98223,,,AB
977S,SALTCREEK,87-9-W 4,87,9,4,56.52174,-111.12662,,,AB
981S,BADLANDS,26-18-W 4,26,18,4,51.21739,-112.31952,,,AB
983S,CADOMIN,47-23-W 5,47,23,5,53.04348,-116.98223,,,AB
985S,EXSHAW,24-9-W 5,24,9,5,51.04348,-115.12662,,,AB
987S,CLOVERBAR,53-23-W 4,53,23,4,53.56522,-112.98223,,,AB
989S,QUIGLEY,83-6-W 4,83,6,4,56.17391,-110.72899,,,AB
991S,LITTLEBOW,15-21-W 4,15,21,4,50.26087,-112.71715,,,AB
993S,ABEE,61-19-W 4,61,19,4,54.26087,-112.45206,,,AB
995S,RANGELANDYARROW,4-29-W 4,4,29,4,49.30435,-113.7775,,,AB
996S,IMPERIALOILCARSONLAKE,61-12-W 5,61,12,5,54.26087,-115.52425,,,AB
1004S,BULLSEYE,25-2-W 4,25,2,4,51.13043,-110.19882,,,AB
1012S,DEERHILL,55-18-W 5,55,18,5,53.73913,-116.31952,,,AB
1018S,SHAMROCK,8-10-W 4,8,10,4,49.65217,-111.25917,,,AB
1019S,WOOLCHESTER,10-4-W 4,10,4,4,49.82609,-110.4639,,,AB
1024S,GRANLEA,8-9-W 4,8,9,4,49.65217,-111.12662,,,AB
1029S,VISTA,50-23-W 5,50,23,5,53.30435,-116.98223,,,AB
1034S,MARGIE,74-8-W 4,74,8,4,55.3913,-110.99408,,,AB
1039S,WHEATCREST,15-18-W 4,15,18,4,50.26087,-112.31952,,,AB
1045S,GARDENPLAIN,35-13-W 4,35,13,4,52,-111.6568,,,AB
1047S,WHISKYJACK,52-18-W 5,52,18,5,53.47826,-116.31952,,,AB
1054S,HOLSOM,11-8-W 4,11,8,4,49.91304,-110.99408,,,AB
1055S,SOLLAIR,27-29-W 4,27,29,4,51.30435,-113.7775,,,AB
1063S,WINDRISE,6-26-W 4,6,26,4,49.47826,-113.37987,,,AB
1200S,FOSTERCREEK,70-4-W 4,70,4,4,55.04348,-110.4639,,,AB
2005S,SECORD,97-10-W 4,97,10,4,57.3913,-111.25917,,,AB
2009S,WILLOWLAKE,86-10-W 4,86,10,4,56.43478,-111.25917,,,AB
2011S,DAWES,84-11-W 4,84,11,4,56.26087,-111.39171,,,AB
2014S,HALFWAY,88-9-W 4,88,9,4,56.6087,-111.12662,,,AB
2015S,YEO,89-14-W 4,89,14,4,56.69565,-111.78934,,,AB
2018S,MUIR,62-20-W 5,62,20,5,54.34783,-116.5846,,,AB
2029S,HEATHFIELD,56-22-W 4,56,22,4,53.82609,-112.84969,,,AB
2032S,SWEETHEARTLAKE,84-11-W 4,84,11,4,56.26087,-111.39171,,,AB
2033S,MOWAT,78-7-W 6,78,7,6,55.73913,-118.86153,,,AB
2037S,HURD,29-9-W 4,29,9,4,51.47826,-111.12662,,,AB
2043S,FREER,80-13-W 4,80,13,4,55.91304,-111.6568,,,AB
2049S,KETTLERIVER,80-6-W 4,80,6,4,55.91304,-110.72899,,,AB
2060S,ENGSTROM,83-6-W 4,83,6,4,56.17391,-110.72899,,,AB
2075S,NEWELL,18-15-W 4,18,15,4,50.52174,-111.92188,,,AB
2081S,MEADOWCREEK,84-6-W 4,84,6,4,56.26087,-110.72899,,,AB
2082S,DOGRIB,91-10-W 4,91,10,4,56.86957,-111.25917,,,AB
2085S,SHERIDAN,46-1-W 6,46,1,6,52.95652,-118.06627,,,AB
2091S,THORNTON,63-5-W 6,63,5,6,54.43478,-118.59645,,,AB
2739S,WABAMUN,53-4-W 5,53,4,5,53.56522,-114.4639,,,AB
6500S,TRUWELDGRATING,46-24-W 4,46,24,4,52.95652,-113.11478,,,AB
9900S,KEARL,97-7-W 4,97,7,4,57.3913,-110.86153,,,AB
29EDD-0020,29EDD-0020,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
29EDD-0056,29EDD-0056,92-9-W 4,92,9,4,56.95652,-111.12662,,,AB
29EDD-1,MILLENIUM29EDD-1,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
29EDD-10,29EDD-10,91-9-W 4,91,9,4,56.86957,-111.12662,,,AB
29EDD-18,FIREBAG,95-6-W 4,95,6,4,57.21739,-110.72899,,,AB
29EDD-19,29EDD-19,91-9-W 4,91,9,4,56.86957,-111.12662,,,AB
29EDD-2,29-EDD-2,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
29-EDD-22,29-EDD-22,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
29EDD-27,29EDD-27,91-9-W 4,91,9,4,56.86957,-111.12662,,,AB
29EDD-3,29EDD-3,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
29EDD-31,29EDD-31,91-9-W 4,91,9,4,56.86957,-111.12662,,,AB
29EDD-32,29EDD-32,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
29EDD-33,29EDD-33,91-9-W 4,91,9,4,56.86957,-111.12662,,,AB
29EDD-46,29EDD-46,91-9-W 4,91,9,4,56.86957,-111.12662,,,AB
29EDD-5,29EDD-5,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
29EDD-55,29EDD-55,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
29EDD-60,INGLISISLAND,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
29EDD-61,STONEYISLAND,92-10-W 4,92,10,4,56.95652,-111.25917,,,AB
29EDD-62,29EDD-62,91-9-W 4,91,9,4,56.86957,-111.12662,,,AB
29EDD-64,29EDD-64,91-9-W 4,91,9,4,56.86957,-111.12662,,,AB
29EDD-65,29EDD-65,95-6-W 4,95,6,4,57.21739,-110.72899,,,AB
29EDD-67,29EDD-67,92-9-W 4,92,9,4,56.95652,-111.12662,,,AB
29EDD-7,29EDD-7,92-9-W 4,92,9,4,56.95652,-111.12662,,,AB
29EDD-71,29EDD-71,95-6-W 4,95,6,4,57.21739,-110.72899,,,AB
29EDD-8,29EDD-8,92-9-W 4,92,9,4,56.95652,-111.12662,,,AB
29EDD-83,29EDD-83,91-9-W 4,91,9,4,56.86957,-111.12662,,,AB
29EDD-84,29EDD-84,91-9-W 4,91,9,4,56.86957,-111.12662,,,AB
29EDD-9,29EDD-9,92-9-W 4,92,9,4,56.95652,-111.12662,,,AB
29EDD-93,29EDD-93,92-9-W 4,92,9,4,56.95652,-111.12662,,,AB
635EDD-1000,FORTHILLS,97-10-W 4,97,10,4,57.3913,-111.25917,,,AB
635EDD-1001,FORTHILLSCENTRAL,97-10-W 4,97,10,4,57.3913,-111.25917,,,AB
635EDD-1002,FORTHILLSCOGEN1,97-10-W 4,97,10,4,57.3913,-111.25917,,,AB
635EDD-1003,FORTHILLSCOGEN2,97-10-W 4,97,10,4,57.3913,-111.25917,,,AB
635EDD-1004,FORTHILLSOPP,97-10-W 4,97,10,4,57.3913,-111.25917,,,AB
Argyll T ransfer S tation,ARGYLL,52-24-W 4,52,24,4,53.47826,-113.11478,,,AB
AT Plastics 4R S,ATPLASTIC4RS,52-24-W 4,52,24,4,53.47826,-113.11478,,,AB
AT Plastics 5R S,ATPLASTIC5RS,52-24-W 4,52,24,4,53.47826,-113.11478,,,AB
Aurora,AURORA,96-10-W 4,96,10,4,57.30435,-111.25917,,,AB
BALZAC-COGEN,BALZACCO-GEN,26-29-W 4,26,29,4,51.21739,-113.7775,,,AB
Bellamy,BELLAMY,52-24-W 4,52,24,4,53.47826,-113.11478,,,AB
BELLY,BELLAMYRIVERCHUTEHYDRO,4-27-W 4,4,27,4,49.30435,-113.51241,,,AB
