Well_ID,UWI,Area,Surf_Latitude,Surf_Longitude,Well_Status_Text,Well_Status_Group,Available_Volume_m3,Legal Subdivisions,Section,Township,Range,Meridian,Crooked_Hole_TF,Deviated_Hole_TF,Horizontal_Hole_TF,Burst_Pressure_psi,Format,STRM,orphan
131/04-03-050-25W3/02,131/04-03-050-25W3,SK,53.2807,-109.5873,Susp OIL Prod,SUSP,11.835825309003082,4,3,50,25,3,F,F,F,,ATS,3-50-25-3,0
131/04-03-061-27W3/00,131/04-03-061-27W3,SK,54.2412,-109.97563,ABD OIL,ABD,7.572743275112105,4,3,61,27,3,F,F,F,,ATS,3-61-27-3,0
131/04-04-006-30W1/02,131/04-04-006-30W1,SK,49.44575,-101.47214,Susp OIL Prod,SUSP,8.169525948994613,4,4,6,30,1,F,F,T,,ATS,4-6-30-1,0
131/04-04-007-13W2/00,131/04-04-007-13W2,SK,49.52525,-103.72077,ABD OIL,ABD,13.7905507511175,4,4,7,13,2,F,F,F,,ATS,4-7-13-2,0
131/04-04-014-32W1/00,131/04-04-014-32W1,SK,50.15485,-101.81244,Susp OIL Prod,SUSP,10.071963906577713,4,4,14,32,1,F,F,F,,ATS,4-14-32-1,0
131/04-04-039-26W3/02,131/04-04-039-26W3,SK,52.32095,-109.69364,ABD WTR Src,ABD,18.15720379373601,4,4,39,26,3,F,F,F,,ATS,4-39-26-3,0
131/04-04-049-19W3/00,131/04-04-049-19W3,SK,53.19429,-108.73381,Susp OIL Prod,SUSP,11.401323645676978,4,4,49,19,3,F,T,F,,ATS,4-49-19-3,0
131/04-05-007-10W2/03,131/04-05-007-10W2,SK,49.53044,-103.3265,Susp OIL Prod,SUSP,7.606110366305329,4,5,7,10,2,F,F,T,,ATS,5-7-10-2,0
131/04-05-007-15W2/03,131/04-05-007-15W2,SK,49.52547,-104.01458,Act WTR Src,IDLE,13.457897291089989,4,5,7,15,2,F,F,F,,ATS,5-7-15-2,0
131/04-05-010-07W2/02,131/04-05-010-07W2,SK,49.79285,-102.93126,Susp OIL Prod,SUSP,7.934769456207412,4,5,10,7,2,F,F,T,,ATS,5-10-7-2,0
131/04-05-028-27W3/00,131/04-05-028-27W3,SK,51.36109,-109.77688,Susp OIL Prod,SUSP,13.994373834584463,4,5,28,27,3,F,F,F,,ATS,5-28-27-3,0
131/04-05-031-21W3/00,131/04-05-031-21W3,SK,51.62255,-108.95557,Susp OIL Prod,SUSP,6.855258152397024,4,5,31,21,3,F,F,F,,ATS,5-31-21-3,0
131/04-05-033-26W3/00,131/04-05-033-26W3,SK,51.7972,-109.66418,Susp OIL Prod,SUSP,21.017466171745564,4,5,33,26,3,F,F,F,,ATS,5-33-26-3,0
131/04-06-005-02W2/00,131/04-06-005-02W2,SK,49.35067,-102.27365,Susp OIL Prod,SUSP,19.630443121525,4,6,5,2,2,F,F,F,,ATS,6-5-2-2,0
131/04-06-009-09W2/02,131/04-06-009-09W2,SK,49.70514,-103.22245,Susp OIL Prod,SUSP,7.8878181576499715,4,6,9,9,2,F,F,T,,ATS,6-9-9-2,0
131/04-06-031-24W3/02,131/04-06-031-24W3,SK,51.62278,-109.40528,Susp OIL Prod,SUSP,11.695188648179569,4,6,31,24,3,F,F,F,,ATS,6-31-24-3,0
131/04-06-048-24W3/03,131/04-06-048-24W3,SK,53.10694,-109.51356,Susp GAS Prod,SUSP,7.89846751036295,4,6,48,24,3,F,F,F,,ATS,6-48-24-3,0
131/04-06-049-24W3/02,131/04-06-049-24W3,SK,53.19366,-109.51367,Susp OIL Prod,SUSP,13.184021898637797,4,6,49,24,3,F,F,F,,ATS,6-49-24-3,0
131/04-06-049-27W3/02,131/04-06-049-27W3,SK,53.19332,-109.95345,Susp OIL Prod,SUSP,8.093131856145233,4,6,49,27,3,F,F,F,,ATS,6-49-27-3,0
131/04-07-050-23W3/00,131/04-07-050-23W3,SK,53.29583,-109.36722,Susp Cyc OIL Inj,SUSP,12.414333237888696,4,7,50,23,3,F,F,F,,ATS,7-50-23-3,0
131/04-08-007-04W2/02,131/04-08-007-04W2,SK,49.54513,-102.52381,Susp OIL Prod,SUSP,9.671967502832702,4,8,7,4,2,F,F,T,,ATS,8-7-4-2,0
131/04-08-007-07W2/02,131/04-08-007-07W2,SK,49.53844,-102.90855,Susp OIL Prod,SUSP,10.24120420459628,4,8,7,7,2,F,F,T,,ATS,8-7-7-2,0
131/04-08-031-20W3/00,131/04-08-031-20W3,SK,51.63758,-108.81488,Susp OIL Prod,SUSP,6.931188268139784,4,8,31,20,3,F,F,F,,ATS,8-31-20-3,0
131/04-08-049-19W3/02,131/04-08-049-19W3,SK,53.20773,-108.75742,Susp OIL Prod,SUSP,10.577011918681167,4,8,49,19,3,F,F,F,,ATS,8-49-19-3,0
131/04-08-056-27W3/00,131/04-08-056-27W3,SK,53.81978,-109.99447,Susp OIL Prod,SUSP,15.14548655022421,4,8,56,27,3,F,F,F,,ATS,8-56-27-3,0
131/04-09-005-06W2/00,131/04-09-005-06W2,SK,49.36454,-102.76683,Susp OIL Prod,SUSP,21.443733838536325,4,9,5,6,2,F,F,F,,ATS,9-5-6-2,0
131/04-09-046-27W3/00,131/04-09-046-27W3,SK,52.9463,-109.87265,ABD OIL,ABD,5.28812592873126,4,9,46,27,3,F,F,F,,ATS,9-46-27-3,0
131/04-09-047-27W3/02,131/04-09-047-27W3,SK,53.03392,-109.90316,Susp OIL Prod,SUSP,7.498257275684772,4,9,47,27,3,F,F,F,,ATS,9-47-27-3,0
